BURNUP,TF,TM,BOR,GROUP,ABSORPTION,CAPTURE,FISSION,NU-FISSION,TRANSPORT,OUT-SCATTER,DIFF(1/3TR),assembly
32.5,1019.3,557,600,2,0.0911077,0.0515192,0.0395885,0.10968,0.948204,0.00173753,0.351542,1
35,1019.3,557,600,1,0.0113793,0.00981747,0.00156183,0.0043271,0.236462,0.0166332,1.40967,1
35,1019.3,557,600,2,0.0907469,0.0520026,0.0387443,0.107837,0.948659,0.00172656,0.351373,1
0,1019.3,557,800,1,0.00909759,0.00680251,0.00229508,0.00588535,0.237336,0.0175373,1.40448,1
0,1019.3,557,800,2,0.0789465,0.0323239,0.0466226,0.113605,0.916312,0.00158629,0.363777,1
0.1,1019.3,557,800,1,0.00913079,0.00683628,0.00229451,0.00588416,0.237627,0.017654,1.40276,1
0.1,1019.3,557,800,2,0.0811895,0.0350043,0.0461853,0.112595,0.915518,0.00162708,0.364093,1
0.5,1019.3,557,800,1,0.00914488,0.00686167,0.00228321,0.00586308,0.237634,0.0176666,1.40272,1
0.5,1019.3,557,800,2,0.0824621,0.0360456,0.0464164,0.113648,0.916881,0.00164953,0.363551,1
1,1019.3,557,800,1,0.00916887,0.00689998,0.00226889,0.00583639,0.237596,0.0176536,1.40294,1
1,1019.3,557,800,2,0.083672,0.0368892,0.0467829,0.115152,0.918655,0.00167051,0.362849,1
2,1019.3,557,800,1,0.00924325,0.00700482,0.00223843,0.00577696,0.237534,0.0176081,1.40331,1
2,1019.3,557,800,2,0.0856326,0.0382953,0.0473373,0.117594,0.921792,0.00170382,0.361614,1
3,1019.3,557,800,1,0.00934021,0.0071325,0.00220771,0.00571556,0.237494,0.0175507,1.40355,1
3,1019.3,557,800,2,0.0872769,0.039557,0.0477198,0.119493,0.924495,0.00173116,0.360557,1
4,1019.3,557,800,1,0.00944531,0.00726845,0.00217686,0.00565279,0.237463,0.0174898,1.40372,1
4,1019.3,557,800,2,0.088646,0.0406833,0.0479628,0.12095,0.926842,0.00175341,0.359644,1
5,1019.3,557,800,1,0.00955337,0.00740593,0.00214744,0.00559268,0.237437,0.0174281,1.40388,1
5,1019.3,557,800,2,0.089797,0.0416997,0.0480973,0.12206,0.928902,0.00177164,0.358847,1
6,1019.3,557,800,1,0.00966004,0.00754091,0.00211913,0.00553461,0.237412,0.0173684,1.40403,1
6,1019.3,557,800,2,0.0907705,0.0426256,0.048145,0.122888,0.930724,0.00178666,0.358144,1
7,1019.3,557,800,1,0.00976301,0.0076713,0.00209171,0.00547807,0.237388,0.0173121,1.40417,1
7,1019.3,557,800,2,0.0915967,0.0434747,0.048122,0.123486,0.932348,0.00179903,0.35752,1
8,1019.3,557,800,1,0.00986137,0.00779613,0.00206523,0.00542328,0.237364,0.0172595,1.40431,1
8,1019.3,557,800,2,0.0922984,0.0442577,0.0480407,0.123889,0.933803,0.00180918,0.356963,1
9,1019.3,557,800,1,0.00995467,0.0079152,0.00203947,0.00536965,0.237339,0.0172111,1.40446,1
9,1019.3,557,800,2,0.0928934,0.0449831,0.0479103,0.124127,0.935114,0.00181744,0.356463,1
10,1019.3,557,800,1,0.0100432,0.0080287,0.00201453,0.00531755,0.237315,0.0171663,1.40461,1
10,1019.3,557,800,2,0.0933962,0.0456576,0.0477386,0.124223,0.936299,0.00182407,0.356012,1
11,1019.3,557,800,1,0.0101274,0.00813698,0.00199043,0.00526706,0.237289,0.0171249,1.40476,1
11,1019.3,557,800,2,0.0938186,0.046287,0.0475317,0.124197,0.937375,0.00182928,0.355603,1
